Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
389,Gary Payton II\paytoga02,PG,27,WAS,29,17,432,5.2,12.5,0.414,1.4,5,0.283,3.8,7.6,0.5,0.4,0.9,0.5,2.8,5.8,8.6,5.2,3.6,0.8,2.2,5.8,12.2,,103,112
390,Norvel Pelle\pelleno01,C,26,PHI,20,0,178,4.9,9.6,0.514,0,0,,4.9,9.6,0.514,1.6,3.3,0.5,4.4,12,16.4,1.9,0.3,6.8,3.5,10.6,11.5,,96,101
391,Theo Pinson\pinsoth01,SG,24,BRK,33,0,365,5.8,20.1,0.29,1.9,10.4,0.188,3.9,9.7,0.4,1.9,2.1,0.938,1.3,5.7,7,7.3,2.2,0.5,4.3,4.5,15.6,,81,108
392,Mason Plumlee\plumlma01,C,29,DEN,53,1,900,8.4,13.6,0.617,0,0.2,0,8.4,13.4,0.627,4.1,7.6,0.536,4.9,10.6,15.5,6.9,1.6,1.8,4,6.9,20.9,,117,106
393,Vincent Poirier\poirivi01,C,26,BOS,21,0,114,6.8,14,0.485,0.4,0.8,0.5,6.4,13.2,0.484,2.5,3,0.857,4.2,10.2,14.4,3,0.8,2.5,2.5,9.8,16.5,,111,105
394,Jakob Pöltl\poeltja01,C,24,SAS,58,10,965,6.7,10.8,0.619,0,0,,6.7,10.8,0.619,1.8,3.7,0.486,5.2,10.3,15.4,5.1,1.5,4.2,2.2,4.8,15.2,,125,108
395,Shamorie Ponds\pondssh01,PG,21,TOR,4,0,11,13,21.7,0.6,4.3,8.7,0.5,8.7,13,0.667,8.7,8.7,1,0,4.3,4.3,8.7,0,4.3,0,8.7,39,,164,107
396,Jordan Poole\poolejo01,SG,20,GSW,57,14,1274,6.3,18.9,0.333,2.8,10,0.279,3.5,8.9,0.392,3.6,4.5,0.798,0.3,4.1,4.4,5,1.3,0.4,2.8,3.5,18.9,,91,117
397,Kevin Porter Jr.\porteke02,SF,19,CLE,50,3,1162,7.8,17.6,0.442,2.2,6.6,0.335,5.6,11,0.506,3.1,4.2,0.723,0.9,5.9,6.8,4.6,1.9,0.6,3.9,5.7,20.9,,99,115
398,Michael Porter Jr.\portemi01,PF,21,DEN,48,1,670,10.4,21,0.495,3.2,7.5,0.422,7.2,13.5,0.536,2.4,3.2,0.767,3.9,10.8,14.7,2.6,1.5,1.4,2.6,5.5,26.4,,114,107
399,Otto Porter\porteot01,SF,26,CHI,14,9,331,9,20.4,0.443,3.5,9,0.387,5.5,11.4,0.487,2.8,3.9,0.704,1.9,5.1,7,3.6,2.2,0.9,1.6,4.5,24.3,,112,110
400,Bobby Portis\portibo01,C,24,NYK,66,5,1393,9.3,20.6,0.45,2.3,6.5,0.358,6.9,14.1,0.493,2.5,3.3,0.763,2.8,9,11.8,3.4,1.1,0.6,2.6,3.8,23.3,,107,113
401,Kristaps Porziņģis\porzikr01,PF,24,DAL,51,51,1597,10.3,24.5,0.42,3.8,10.9,0.349,6.5,13.6,0.477,5.4,6.9,0.776,2.7,11.9,14.6,2.7,1.1,3.2,2.5,4.8,29.7,,109,106
402,Dwight Powell\poweldw01,C,28,DAL,40,37,1061,6.7,10.5,0.638,0.5,1.8,0.256,6.2,8.7,0.716,3.4,5.1,0.667,3.4,6.9,10.4,2.7,1.6,1,1.6,4.7,17.2,,134,110
403,Norman Powell\powelno01,SG,26,TOR,44,23,1269,9.7,19.4,0.502,3.5,8.9,0.398,6.2,10.5,0.589,4.1,4.9,0.838,0.9,5.2,6.1,2.9,2.1,0.6,2.4,3.5,27.1,,117,106
404,Chasson Randle\randlch01,PG,26,GSW,3,0,40,0,4.8,0,0,2.4,0,0,2.4,0,6,7.2,0.833,0,2.4,2.4,6,2.4,0,0,3.6,6,,113,116
405,Julius Randle\randlju01,PF,25,NYK,64,64,2080,10.8,23.5,0.46,1.5,5.4,0.277,9.3,18.1,0.515,6,8.2,0.733,3.5,11,14.6,4.6,1.2,0.5,4.5,4.2,29.2,,105,112
406,Josh Reaves\reavejo02,SG,22,DAL,2,0,1,0,48.4,0,0,0,,0,48.4,0,0,0,,0,0,0,0,0,0,0,0,0,,0,119
407,Cam Reddish\reddica01,SF,20,ATL,58,34,1551,6.4,16.6,0.384,2.5,7.5,0.332,3.9,9.1,0.428,3,3.8,0.802,1.1,5.4,6.5,2.6,1.9,0.8,2.9,4,18.3,,95,115
408,J.J. Redick\redicjj01,SG,35,NOP,54,35,1425,8.1,18.1,0.45,5.1,11.2,0.452,3.1,6.9,0.446,4.8,5.3,0.902,0.3,4.2,4.5,3.5,0.6,0.3,2.1,2.8,26.1,,122,116
409,Naz Reid\reidna01,C,20,MIN,30,11,495,9.4,22.8,0.412,3,9.1,0.33,6.4,13.7,0.466,3.5,5,0.698,3.2,8.4,11.6,3.3,1.8,2.1,2.1,7.8,25.2,,105,110
410,Josh Richardson\richajo01,SG,26,PHI,48,46,1474,8.1,18.9,0.429,2.3,7.1,0.327,5.8,11.9,0.489,3.3,4.2,0.789,1.2,4.1,5.3,4.9,1.5,1.1,3,4,21.9,,103,110
411,Austin Rivers\riverau01,SG,27,HOU,60,4,1402,6,14.3,0.421,2.8,7.7,0.358,3.3,6.6,0.495,2,3,0.667,0.8,3.9,4.7,3.2,1.4,0.3,1.2,3.7,16.8,,112,113
412,Duncan Robinson\robindu01,SF,25,MIA,65,60,1949,7.2,15.4,0.467,6.1,13.6,0.448,1.1,1.8,0.614,1.2,1.3,0.906,0.2,5.1,5.3,2.3,0.9,0.4,1.5,4.5,21.7,,122,113
